 service_id, service_name, service_category, service_price, service_status
1,Room Service,Dining,1000,Available
2,Laundry,Housekeeping,700,Available
3,Restaurant,Dining,2000,Unavailable
4,Breakfast Buffet,Dining,500,Unavailable
5,Spa,Wellness,500,Available
6,Swimming Pool,Recreation,300,Available
7,Gym,Fitness,15000,Available
8,Wi-Fi,Internet,1500,Available
9,Parking,Parking,15000,Available
10,Banquet Hall,Event,15000,Unavailable
11,Conference Hall,Business,500,Available
12,Tour Assistance,Travel,15000,Available
13,Wake-up Call,Guest Service,500,Available
14,Luggage Assistance,Guest Service,1200,Unavailable
15,Extra Bed,Room,25000,Available
16,Room Service,Dining,400,Available
17,Laundry,Housekeeping,3500,Available
18,Restaurant,Dining,3500,Available
19,Breakfast Buffet,Dining,700,Available
20,Spa,Wellness,2000,Available
21,Swimming Pool,Recreation,1200,Available
22,Gym,Fitness,500,Available
23,Wi-Fi,Internet,3500,Available
24,Parking,Parking,1000,Available
25,Banquet Hall,Event,1500,Available
26,Conference Hall,Business,15000,Available
27,Tour Assistance,Travel,2000,Available
28,Wake-up Call,Guest Service,15000,Available
29,Luggage Assistance,Guest Service,1200,Available
30,Extra Bed,Room,800,Available
31,Room Service,Dining,3500,Available
32,Laundry,Housekeeping,300,Available
33,Restaurant,Dining,500,Available
34,Breakfast Buffet,Dining,3500,Available
35,Spa,Wellness,700,Available
36,Swimming Pool,Recreation,1200,Available
37,Gym,Fitness,700,Available
38,Wi-Fi,Internet,500,Available
39,Parking,Parking,2000,Available
40,Banquet Hall,Event,500,Available
41,Conference Hall,Business,25000,Available
42,Tour Assistance,Travel,400,Available
43,Wake-up Call,Guest Service,25000,Available
44,Luggage Assistance,Guest Service,500,Available
45,Extra Bed,Room,300,Available
46,Room Service,Dining,400,Available
47,Laundry,Housekeeping,400,Available
48,Restaurant,Dining,800,Available
49,Breakfast Buffet,Dining,400,Available
50,Spa,Wellness,15000,Available
51,Swimming Pool,Recreation,500,Available
52,Gym,Fitness,1500,Available
53,Wi-Fi,Internet,300,Unavailable
54,Parking,Parking,3500,Available
55,Banquet Hall,Event,2000,Available
56,Conference Hall,Business,800,Available
57,Tour Assistance,Travel,25000,Available
58,Wake-up Call,Guest Service,500,Available
59,Luggage Assistance,Guest Service,700,Available
60,Extra Bed,Room,25000,Available
61,Room Service,Dining,500,Available
62,Laundry,Housekeeping,15000,Available
63,Restaurant,Dining,700,Available
64,Breakfast Buffet,Dining,1500,Available
65,Spa,Wellness,700,Available
66,Swimming Pool,Recreation,300,Unavailable
67,Gym,Fitness,300,Available
68,Wi-Fi,Internet,1200,Unavailable
69,Parking,Parking,700,Available
70,Banquet Hall,Event,25000,Available
71,Conference Hall,Business,700,Available
72,Tour Assistance,Travel,15000,Unavailable
73,Wake-up Call,Guest Service,500,Unavailable
74,Luggage Assistance,Guest Service,300,Available
75,Extra Bed,Room,500,Available
76,Room Service,Dining,500,Available
77,Laundry,Housekeeping,3500,Available
78,Restaurant,Dining,800,Available
79,Breakfast Buffet,Dining,500,Available
80,Spa,Wellness,1000,Available
81,Swimming Pool,Recreation,300,Available
82,Gym,Fitness,500,Available
83,Wi-Fi,Internet,700,Available
84,Parking,Parking,400,Available
85,Banquet Hall,Event,800,Available
86,Conference Hall,Business,1500,Available
87,Tour Assistance,Travel,15000,Available
88,Wake-up Call,Guest Service,1500,Available
89,Luggage Assistance,Guest Service,500,Available
90,Extra Bed,Room,500,Available
91,Room Service,Dining,1500,Available
92,Laundry,Housekeeping,300,Available
93,Restaurant,Dining,700,Available
94,Breakfast Buffet,Dining,400,Available
95,Spa,Wellness,3500,Available
96,Swimming Pool,Recreation,1500,Available
97,Gym,Fitness,1200,Available
98,Wi-Fi,Internet,500,Available
99,Parking,Parking,700,Available
100,Banquet Hall,Event,400,Available
101,Conference Hall,Business,300,Unavailable
102,Tour Assistance,Travel,700,Available
103,Wake-up Call,Guest Service,1500,Available
104,Luggage Assistance,Guest Service,700,Available
105,Extra Bed,Room,2000,Available
106,Room Service,Dining,2000,Available
107,Laundry,Housekeeping,1200,Available
108,Restaurant,Dining,300,Available
109,Breakfast Buffet,Dining,500,Available
110,Spa,Wellness,2000,Available
111,Swimming Pool,Recreation,800,Available
112,Gym,Fitness,1500,Available
113,Wi-Fi,Internet,400,Available
114,Parking,Parking,1500,Unavailable
115,Banquet Hall,Event,1000,Available
116,Conference Hall,Business,1200,Available
117,Tour Assistance,Travel,15000,Available
118,Wake-up Call,Guest Service,1500,Available
119,Luggage Assistance,Guest Service,15000,Available
120,Extra Bed,Room,1000,Available
121,Room Service,Dining,1500,Available
122,Laundry,Housekeeping,300,Available
123,Restaurant,Dining,1200,Unavailable
124,Breakfast Buffet,Dining,800,Available
125,Spa,Wellness,300,Available
126,Swimming Pool,Recreation,1000,Available
127,Gym,Fitness,1000,Available
128,Wi-Fi,Internet,700,Unavailable
